path,slug,title,date,expiryDate,publishDate,draft,permalink
content/event/2022/9/seattle-robotics-society-the-applications-of-pybotics/index.md,,Seattle Robotics Society: The Applications of Pybotics,2022-10-15T00:00:00Z,0001-01-01T00:00:00Z,2022-09-13T07:52:37-04:00,false,https://nicholasnadeau.com/talk/seattle-robotics-society-the-applications-of-pybotics/
content/event/2022/8/design-to-product-applying-key-hardware-design-considerations/index.md,,Design to Product Podcast: Applying Key Hardware Design Considerations,2022-08-18T00:00:00Z,0001-01-01T00:00:00Z,2022-08-18T15:45:15-04:00,false,https://nicholasnadeau.com/talk/design-to-product-podcast-applying-key-hardware-design-considerations/
content/post/2022/8/lets-prioritize-safe-movement-for-humanoid-robots-not-facial-expressions/index.md,,"Let’s Prioritize Safety for Humanoid Robots, Not Flower Picking Movie Montages",2022-08-05T12:56:08-04:00,0001-01-01T00:00:00Z,2022-08-05T12:56:08-04:00,false,https://nicholasnadeau.com/post/2022/8/lets-prioritize-safe-movement-for-humanoid-robots-not-facial-expressions/
content/post/2022/7/debugging-yocto-dofetch-failed-to-fetch-url/index.md,,Debugging Yocto `do_fetch`: Failed to fetch URL,2022-07-26T09:17:56-04:00,0001-01-01T00:00:00Z,2022-07-26T09:17:56-04:00,false,https://nicholasnadeau.com/post/2022/7/debugging-yocto-dofetch-failed-to-fetch-url/
content/post/2022/7/practical-electronics-august-2022/index.md,,Practical Electronics August 2022,2022-07-13T13:43:08-04:00,0001-01-01T00:00:00Z,2022-07-13T13:43:08-04:00,false,https://nicholasnadeau.com/post/2022/7/practical-electronics-august-2022/
content/post/2022/7/the-ambassador-of-canada-to-norway-greets-humanoid-robot-eve-at-halodi-robotics-hq/index.md,,The Ambassador of Canada to Norway greets humanoid robot EVE at Halodi Robotics HQ,2022-07-13T08:45:38-04:00,0001-01-01T00:00:00Z,2022-07-13T08:45:38-04:00,false,https://nicholasnadeau.com/post/2022/7/the-ambassador-of-canada-to-norway-greets-humanoid-robot-eve-at-halodi-robotics-hq/
content/post/2022/7/halodis-humanoid-robots-are-already-amongst-us/index.md,,Halodi's Humanoid Robots Are Already Amongst Us!,2022-07-08T10:37:18-04:00,0001-01-01T00:00:00Z,2022-07-08T10:37:18-04:00,false,https://nicholasnadeau.com/post/2022/7/halodis-humanoid-robots-are-already-amongst-us/
content/post/2022/6/coffee-with-a-researcher-icra2022/index.md,,Coffee With a Researcher - ICRA 2022,2022-06-21T09:15:42-04:00,0001-01-01T00:00:00Z,2022-06-21T09:15:42-04:00,false,https://nicholasnadeau.com/post/2022/6/coffee-with-a-researcher-icra2022/
content/post/2022/5/icra-2022/index.md,,2022 International Conference on Robotics and Automation (ICRA) Recap,2022-05-27T12:58:03-04:00,0001-01-01T00:00:00Z,2022-05-27T12:58:03-04:00,false,https://nicholasnadeau.com/post/2022/5/icra-2022/
content/post/2022/5/immervision-brings-humanlike-vision-capabilities-to-halodi-robotics/index.md,,Immervision Brings Human-like Vision Capabilities to Halodi Robotics,2022-05-19T13:39:04-04:00,0001-01-01T00:00:00Z,2022-05-19T13:39:04-04:00,false,https://nicholasnadeau.com/post/2022/5/immervision-brings-humanlike-vision-capabilities-to-halodi-robotics/
content/post/2022/5/how-montreal-is-building-a-robot-workforce/index.md,,How Montreal Is Building a Robot Workforce,2022-05-16T20:53:57-04:00,0001-01-01T00:00:00Z,2022-05-16T20:53:57-04:00,false,https://nicholasnadeau.com/post/2022/5/how-montreal-is-building-a-robot-workforce/
content/publication/cole-2020-improved/index.md,,Improved Test Methods for Polymer AM Inter-Layer Weld Strength and Filament Mechanical Properties,2022-02-26T00:00:00Z,0001-01-01T00:00:00Z,2022-02-26T00:00:00Z,false,https://nicholasnadeau.com/publication/cole-2020-improved/
content/post/2022/2/esa-security-nation-magazine-cover-story/index.md,,ESA Security Nation Magazine Cover Story,2022-02-11T15:34:57-05:00,0001-01-01T00:00:00Z,2022-02-11T15:34:57-05:00,false,https://nicholasnadeau.com/post/2022/2/esa-security-nation-magazine-cover-story/
content/event/2022/1/dallas-isd-stem-expo/index.md,,Dallas ISD STEM Expo,2022-01-22T00:00:00Z,0001-01-01T00:00:00Z,2022-01-20T15:08:52-05:00,false,https://nicholasnadeau.com/talk/dallas-isd-stem-expo/
content/post/2021/11/lester-b-virtual-wall-of-fame-dr-nicholas-nadeau-engineer-specialized-in-robotics/index.md,,"Lester B Wall of Fame: Dr. Nicholas Nadeau, Engineer Specialized in Robotics",2021-11-22T08:51:39-05:00,0001-01-01T00:00:00Z,2021-11-22T08:51:39-05:00,false,https://nicholasnadeau.com/post/2021/11/lester-b-virtual-wall-of-fame-dr-nicholas-nadeau-engineer-specialized-in-robotics/
content/post/2021/11/startup-community-gala-2021-nomination-mentor-of-the-year/index.md,,Mentor of the Year Nomination: Startup Community Gala 2021,2021-11-12T14:18:53-05:00,0001-01-01T00:00:00Z,2021-11-12T14:18:53-05:00,false,https://nicholasnadeau.com/post/2021/11/startup-community-gala-2021-nomination-mentor-of-the-year/
content/event/2021/10/lets-talk-robotics-with-dr-nicholas-nadeau/index.md,,Let's talk robotics with Dr. Nicholas Nadeau!,2021-10-18T00:00:00Z,0001-01-01T00:00:00Z,2021-10-20T06:26:05-04:00,false,https://nicholasnadeau.com/talk/lets-talk-robotics-with-dr.-nicholas-nadeau/
content/event/2021/10/dclic-techno-rendezvous-des-startups-et-industrie-de-llectronique/index.md,,Déclic Techno: Rendez-vous des startups et industrie de l'électronique,2021-10-12T00:00:00Z,0001-01-01T00:00:00Z,2021-10-07T13:59:50-04:00,false,https://nicholasnadeau.com/talk/declic-techno-rendez-vous-des-startups-et-industrie-de-lelectronique/
content/event/2021/10/ieeeembs-robotics-webinar/index.md,,IEEE-EMBS Robotics Webinar,2021-10-02T00:00:00Z,0001-01-01T00:00:00Z,2021-10-02T10:50:42-04:00,false,https://nicholasnadeau.com/talk/ieee-embs-robotics-webinar/
content/post/2021/9/pdf-hero-how-to-extract-emails-with-python/index.md,,PDF Hero: How to Extract Emails with Python,2021-09-11T10:23:30-04:00,0001-01-01T00:00:00Z,2021-09-11T10:23:30-04:00,false,https://nicholasnadeau.com/post/2021/9/pdf-hero-how-to-extract-emails-with-python/
content/post/2021/8/society-robots-and-us-hiring-for-inclusive-robotics/index.md,,"Society, Robots, and Us: Hiring for Inclusive Robotics",2021-08-30T17:50:36-04:00,0001-01-01T00:00:00Z,2021-08-30T17:50:36-04:00,false,https://nicholasnadeau.com/post/2021/8/society-robots-and-us-hiring-for-inclusive-robotics/
content/post/2021/6/things-i-wish-candidates-knew/index.md,,7 Things I Wish Candidates Knew,2021-06-06T11:55:14-04:00,0001-01-01T00:00:00Z,2021-06-06T11:55:14-04:00,false,https://nicholasnadeau.com/post/2021/6/things-i-wish-candidates-knew/
content/post/2021/5/how-i-used-python-monitor-quebec-vaccine-website-to-get-the-first-available-appointment/index.md,,How I Used Python to Monitor Santé Québec's Vaccine Website to Get the First Available Appointment for My Age Group,2021-05-21T10:35:34-04:00,0001-01-01T00:00:00Z,2021-05-21T10:35:34-04:00,false,https://nicholasnadeau.com/post/2021/5/how-i-used-python-monitor-quebec-vaccine-website-to-get-the-first-available-appointment/
content/post/2021/5/things-i-wished-they-taught-in-engineering-school/index.md,,10 Things I Wish They Taught in Engineering School,2021-05-16T11:11:33-04:00,0001-01-01T00:00:00Z,2021-05-16T11:11:33-04:00,false,https://nicholasnadeau.com/post/2021/5/things-i-wished-they-taught-in-engineering-school/
content/post/2021/5/how-to-make-hardware-development-more-agile/index.md,,How to Make Hardware Development More Agile,2021-05-11T16:52:23-04:00,0001-01-01T00:00:00Z,2021-05-11T16:52:23-04:00,false,https://nicholasnadeau.com/post/2021/5/how-to-make-hardware-development-more-agile/
content/post/2021/5/python-tips-how-to-stop-my-pandas-data-table-from-being-truncated-when-printed/index.md,,Python Tips: How to Stop a Pandas Data Table From Being Truncated When Printed,2021-05-03T18:23:04-04:00,0001-01-01T00:00:00Z,2021-05-03T18:23:04-04:00,false,https://nicholasnadeau.com/post/2021/5/python-tips-how-to-stop-my-pandas-data-table-from-being-truncated-when-printed/
content/post/2021/5/python-tips-how-to-read-a-file-without-newlines/index.md,,Python Tips: How to Read a File Without Newlines,2021-05-03T17:43:53-04:00,0001-01-01T00:00:00Z,2021-05-03T17:43:53-04:00,false,https://nicholasnadeau.com/post/2021/5/python-tips-how-to-read-a-file-without-newlines/
content/event/2021/4/silicon-valley-robotics-society-robots-and-us-hiring-for-inclusive-robotics/index.md,,"Society, Robots, and Us: Hiring for Inclusive Robotics",2021-04-27T00:00:00Z,0001-01-01T00:00:00Z,2021-04-22T17:28:03-04:00,false,https://nicholasnadeau.com/talk/society-robots-and-us-hiring-for-inclusive-robotics/
content/event/2021/4/silicon-valley-robotics-online-robotics-job-fair/index.md,,Silicon Valley Robotics: Online Robotics Job Fair,2021-04-21T00:00:00Z,0001-01-01T00:00:00Z,2021-04-18T13:08:09-04:00,false,https://nicholasnadeau.com/talk/silicon-valley-robotics-online-robotics-job-fair/
content/contact/index.md,,Contact,2021-04-20T00:00:00Z,0001-01-01T00:00:00Z,2021-04-20T00:00:00Z,false,https://nicholasnadeau.com/contact/
content/projects/index.md,,Projects and Products,2021-04-20T00:00:00Z,0001-01-01T00:00:00Z,2021-04-20T00:00:00Z,false,https://nicholasnadeau.com/projects/
content/event/2021/4/hardware-in-the-loop-training-robot-contact-in-an-unstructured-environment/index.md,,Hardware in the Loop: Training Robot Contact in an Unstructured Environment,2021-04-19T18:00:00Z,0001-01-01T00:00:00Z,2021-04-18T12:27:58-04:00,false,https://nicholasnadeau.com/talk/hardware-in-the-loop-training-robot-contact-in-an-unstructured-environment/
content/event/2021/4/silicon-valley-robotics-bots-beverages-online/index.md,,Silicon Valley Robotics: Bots Beverages Online,2021-04-07T19:00:00Z,0001-01-01T00:00:00Z,2021-04-18T13:07:48-04:00,false,https://nicholasnadeau.com/talk/silicon-valley-robotics-bots-beverages-online/
content/project/2021/2/ever3-humanoid-research-robot/index.md,,Eve Humanoid Robot,2021-02-03T17:43:54-05:00,0001-01-01T00:00:00Z,2021-02-03T17:43:54-05:00,false,https://nicholasnadeau.com/project/2021/2/ever3-humanoid-research-robot/
content/project/2020/12/aonm2/index.md,,AON-M2,2020-12-25T19:48:34-05:00,0001-01-01T00:00:00Z,2020-12-25T19:48:34-05:00,false,https://nicholasnadeau.com/project/2020/12/aonm2/
content/project/2020/12/brainsight-microsurgical-robot/index.md,,Brainsight® Microsurgical Robot,2020-12-25T14:23:24-05:00,0001-01-01T00:00:00Z,2020-12-25T14:23:24-05:00,false,https://nicholasnadeau.com/project/2020/12/brainsight-microsurgical-robot/
content/project/2020/12/brainsight-deep-brain-stimulator/index.md,,Brainsight® Deep Brain Stimulator,2020-12-25T14:22:23-05:00,0001-01-01T00:00:00Z,2020-12-25T14:22:23-05:00,false,https://nicholasnadeau.com/project/2020/12/brainsight-deep-brain-stimulator/
content/project/2020/12/surgical-planning-custom-implant-design/index.md,,Veterinary Surgical Planning and Custom Implant Design,2020-12-25T14:19:58-05:00,0001-01-01T00:00:00Z,2020-12-25T14:19:58-05:00,false,https://nicholasnadeau.com/project/2020/12/surgical-planning-custom-implant-design/
content/project/2020/12/brainsight-elevatetms/index.md,,Brainsight® Elevate TMS,2020-12-25T14:17:35-05:00,0001-01-01T00:00:00Z,2020-12-25T14:17:35-05:00,false,https://nicholasnadeau.com/project/2020/12/brainsight-elevatetms/
content/project/2020/12/brainsight-tms-chair/index.md,,Brainsight® TMS Chair,2020-12-25T14:14:49-05:00,0001-01-01T00:00:00Z,2020-12-25T14:14:49-05:00,false,https://nicholasnadeau.com/project/2020/12/brainsight-tms-chair/
content/project/2020/12/brainsight-nirs/index.md,,Brainsight® NIRS,2020-12-20T13:47:22-05:00,0001-01-01T00:00:00Z,2020-12-20T13:47:22-05:00,false,https://nicholasnadeau.com/project/2020/12/brainsight-nirs/
content/post/2020/12/mentoring-techstars-montreal-ai-accelerator-2020/index.md,,Mentoring Techstars Montréal AI Accelerator,2020-12-20T09:46:57-05:00,0001-01-01T00:00:00Z,2020-12-20T09:46:57-05:00,false,https://nicholasnadeau.com/post/2020/12/mentoring-techstars-montreal-ai-accelerator-2020/
content/post/2020/11/python-for-hardware-engineers-sqlite-or-how-i-learned-to-stop-worrying-and-love-databases/index.md,,Python for Hardware Engineers: SQLite or; How I Learned to Stop Worrying and Love Databases,2020-11-10T21:35:08-05:00,0001-01-01T00:00:00Z,2020-11-10T21:35:08-05:00,false,https://nicholasnadeau.com/post/2020/11/python-for-hardware-engineers-sqlite-or-how-i-learned-to-stop-worrying-and-love-databases/
content/post/2020/11/python-tricks-replace-all-nonalphanumeric-characters-in-a-string/index.md,,Python Tricks: Replace All Non-alphanumeric Characters in a String,2020-11-07T09:53:15-05:00,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,false,https://nicholasnadeau.com/post/2020/11/python-tricks-replace-all-nonalphanumeric-characters-in-a-string/
content/post/2020/10/python-for-hardware-engineers-analyzing-temperature-sensor-data/index.md,,Python for Hardware Engineers: Analyzing Temperature and Humidity Data From an OM-24 Sensor,2020-10-31T00:00:00Z,0001-01-01T00:00:00Z,2020-10-31T00:00:00Z,false,https://nicholasnadeau.com/post/2020/10/python-for-hardware-engineers-analyzing-temperature-sensor-data/
content/post/2020/10/sanity-in-the-time-of-covid/index.md,,Sanity in the Time of COVID: Daily Routines That Keep Me Productive and Focused,2020-10-30T00:00:00Z,0001-01-01T00:00:00Z,2020-10-30T00:00:00Z,false,https://nicholasnadeau.com/post/2020/10/sanity-in-the-time-of-covid/
content/post/2020/10/founderfuel-2020-mentoring/index.md,,Mentoring Founderfuel 2020,2020-10-26T16:05:21-04:00,0001-01-01T00:00:00Z,2020-10-26T16:05:21-04:00,false,https://nicholasnadeau.com/post/2020/10/founderfuel-2020-mentoring/
content/post/2020/10/new-series-python-for-hardware-engineering/index.md,,New Series: Python for Hardware Engineers,2020-10-25T00:00:00Z,0001-01-01T00:00:00Z,2020-10-25T00:00:00Z,false,https://nicholasnadeau.com/post/2020/10/new-series-python-for-hardware-engineering/
content/post/2020/10/new-pc-builds-how-my-mission-for-a-smaller-desktop-pc-resulted-in-building-two/index.md,,New PC Builds: How My Mission for a Smaller Desktop PC Resulted in Building Two Systems,2020-10-17T09:43:09-04:00,0001-01-01T00:00:00Z,2020-10-17T09:43:09-04:00,false,https://nicholasnadeau.com/post/2020/10/new-pc-builds-how-my-mission-for-a-smaller-desktop-pc-resulted-in-building-two/
content/post/2020/9/how-to-reset-a-windows-password-with-just-physical-access-and-ubuntu/index.md,,How to Reset a Windows Password With Just Physical Access and an Ubuntu USB,2020-09-23T07:48:36-04:00,0001-01-01T00:00:00Z,2020-09-23T07:48:36-04:00,false,https://nicholasnadeau.com/post/2020/9/how-to-reset-a-windows-password-with-just-physical-access-and-ubuntu/
content/post/2020/9/python-snippets-dropping-infinite-values-from-dataframes-in-pandas/index.md,,Python Snippets: Dropping Infinite Values From Dataframes in Pandas,2020-09-09T07:24:08-04:00,0001-01-01T00:00:00Z,2020-09-09T07:24:08-04:00,false,https://nicholasnadeau.com/post/2020/9/python-snippets-dropping-infinite-values-from-dataframes-in-pandas/
content/post/2020/8/evaluating-twitter-with-plumes/index.md,,Social Hygiene: Pruning my Twitter Feed with Plumes,2020-09-08T00:00:00Z,0001-01-01T00:00:00Z,2020-09-08T00:00:00Z,false,https://nicholasnadeau.com/post/2020/8/evaluating-twitter-with-plumes/
content/project/2020/8/robotiq-ft-sensor-java/index.md,,Robotiq FT Sensor Java,2020-08-23T19:48:07-04:00,0001-01-01T00:00:00Z,2020-08-23T19:48:07-04:00,false,https://nicholasnadeau.com/project/2020/8/robotiq-ft-sensor-java/
content/project/2020/8/labell/index.md,,Labell,2020-08-23T19:35:06-04:00,0001-01-01T00:00:00Z,2020-08-23T19:35:06-04:00,false,https://nicholasnadeau.com/project/2020/8/labell/
content/project/2020/8/cv/index.md,,CV,2020-08-23T19:06:54-04:00,0001-01-01T00:00:00Z,2020-08-23T19:06:54-04:00,false,https://nicholasnadeau.com/project/2020/8/cv/
content/project/2020/8/kuka-lbr-iiwa-examples/index.md,,Kuka LBR iiwa Examples,2020-08-23T11:31:52-04:00,0001-01-01T00:00:00Z,2020-08-23T11:31:52-04:00,false,https://nicholasnadeau.com/project/2020/8/kuka-lbr-iiwa-examples/
content/project/2020/8/personal-site/index.md,,Personal Site,2020-08-23T11:15:27-04:00,0001-01-01T00:00:00Z,2020-08-23T11:15:27-04:00,false,https://nicholasnadeau.com/project/2020/8/personal-site/
content/project/2020/8/plumes/index.md,,Plumes,2020-08-23T10:33:11-04:00,0001-01-01T00:00:00Z,2020-08-23T10:33:11-04:00,false,https://nicholasnadeau.com/project/2020/8/plumes/
content/project/2020/8/pybotics/index.md,,Pybotics,2020-08-23T10:33:04-04:00,0001-01-01T00:00:00Z,2020-08-23T10:33:04-04:00,false,https://nicholasnadeau.com/project/2020/8/pybotics/
content/post/2020/8/one-version-to-rule-them-all-keeping-your-python-package-version-number-in-sync-with-git-and-poetry/index.md,,One Version to Rule Them All: Keeping Your Python Package Version Number in Sync With Git and Poetry,2020-08-08T14:54:23-04:00,0001-01-01T00:00:00Z,2020-08-08T14:54:23-04:00,false,https://nicholasnadeau.com/post/2020/8/one-version-to-rule-them-all-keeping-your-python-package-version-number-in-sync-with-git-and-poetry/
content/post/2020/6/pushing-timesheet-data-and-events-to-clockify-using-python/index.md,,Pushing Timesheet Data and Events to Clockify Using Python,2020-06-25T12:04:57-04:00,0001-01-01T00:00:00Z,2020-06-25T12:04:57-04:00,false,https://nicholasnadeau.com/post/2020/6/pushing-timesheet-data-and-events-to-clockify-using-python/
